api-1  | {"time":"2026-07-28T07:47:54.927197174Z","level":"INFO","msg":"HTTP request completed","service":"api","event":"http_request","request_id":"10c2ce3d-564d-4968-b098-09e270e7bbe4","method":"POST","path":"/internal/v1/logs/bulk","client_ip":"172.20.0.3","status":200,"latency_ms":4,"operation":"log_ingestion","received":50,"inserted":0,"duplicated":50,"rejected":0}
api-1  | {"time":"2026-07-28T07:47:55.077609744Z","level":"INFO","msg":"HTTP request completed","service":"api","event":"http_request","request_id":"6c79c1d1-0075-4522-ab54-a5eb60721942","method":"POST","path":"/internal/v1/logs/bulk","client_ip":"172.20.0.3","status":200,"latency_ms":4,"operation":"log_ingestion","received":50,"inserted":0,"duplicated":50,"rejected":0}
api-1  | {"time":"2026-07-28T07:47:55.21693063Z","level":"INFO","msg":"HTTP request completed","service":"api","event":"http_request","request_id":"af8b1436-eb32-4e09-97fa-1dda5ababa48","method":"POST","path":"/internal/v1/logs/bulk","client_ip":"172.20.0.3","status":200,"latency_ms":3,"operation":"log_ingestion","received":50,"inserted":0,"duplicated":50,"rejected":0}
api-1  | {"time":"2026-07-28T07:47:56.816610772Z","level":"INFO","msg":"HTTP request completed","service":"api","event":"http_request","request_id":"f117e71e-2b93-4f42-897b-c400086e4c00","method":"POST","path":"/internal/v1/logs/bulk","client_ip":"172.20.0.3","status":200,"latency_ms":3,"operation":"log_ingestion","received":50,"inserted":0,"duplicated":50,"rejected":0}
api-1  | {"time":"2026-07-28T07:47:56.958776506Z","level":"INFO","msg":"HTTP request completed","service":"api","event":"http_request","request_id":"e194f94b-a2b6-4c98-b40c-ee3d38c27ec8","method":"POST","path":"/internal/v1/logs/bulk","client_ip":"172.20.0.3","status":200,"latency_ms":3,"operation":"log_ingestion","received":50,"inserted":0,"duplicated":50,"rejected":0}
api-1  | {"time":"2026-07-28T07:47:57.0916769Z","level":"INFO","msg":"HTTP request completed","service":"api","event":"http_request","request_id":"9893335b-0e86-489e-953b-e4d5be0ba1fd","method":"POST","path":"/internal/v1/logs/bulk","client_ip":"172.20.0.3","status":200,"latency_ms":4,"operation":"log_ingestion","received":50,"inserted":0,"duplicated":50,"rejected":0}
api-1  | {"time":"2026-07-28T07:47:57.22603291Z","level":"INFO","msg":"HTTP request completed","service":"api","event":"http_request","request_id":"3045846f-741f-4be2-ba3a-81ece4e0173b","method":"POST","path":"/internal/v1/logs/bulk","client_ip":"172.20.0.3","status":200,"latency_ms":3,"operation":"log_ingestion","received":50,"inserted":0,"duplicated":50,"rejected":0}
api-1  | {"time":"2026-07-28T07:47:57.357735852Z","level":"INFO","msg":"HTTP request completed","service":"api","event":"http_request","request_id":"075f879e-a2e7-4583-bb47-2f69c429b428","method":"POST","path":"/internal/v1/logs/bulk","client_ip":"172.20.0.3","status":200,"latency_ms":3,"operation":"log_ingestion","received":50,"inserted":0,"duplicated":50,"rejected":0}
api-1  | {"time":"2026-07-28T07:47:57.497436815Z","level":"INFO","msg":"HTTP request completed","service":"api","event":"http_request","request_id":"44b63188-c1d4-4549-b42d-e8e2b63bf1db","method":"POST","path":"/internal/v1/logs/bulk","client_ip":"172.20.0.3","status":200,"latency_ms":5,"operation":"log_ingestion","received":50,"inserted":0,"duplicated":50,"rejected":0}
api-1  | {"time":"2026-07-28T07:47:57.632637187Z","level":"INFO","msg":"HTTP request completed","service":"api","event":"http_request","request_id":"e7483aa0-c351-47af-a088-5cec8b1e8feb","method":"POST","path":"/internal/v1/logs/bulk","client_ip":"172.20.0.3","status":200,"latency_ms":3,"operation":"log_ingestion","received":50,"inserted":0,"duplicated":50,"rejected":0}
api-1  | {"time":"2026-07-28T07:47:57.75505575Z","level":"INFO","msg":"HTTP request completed","service":"api","event":"http_request","request_id":"faa7db50-f892-4f86-b976-34a84a24bc74","method":"POST","path":"/internal/v1/logs/bulk","client_ip":"172.20.0.3","status":200,"latency_ms":4,"operation":"log_ingestion","received":50,"inserted":0,"duplicated":50,"rejected":0}
api-1  | {"time":"2026-07-28T07:47:57.886851886Z","level":"INFO","msg":"HTTP request completed","service":"api","event":"http_request","request_id":"a243f667-f72d-4c18-99ea-8c02296040db","method":"POST","path":"/internal/v1/logs/bulk","client_ip":"172.20.0.3","status":200,"latency_ms":2,"operation":"log_ingestion","received":50,"inserted":0,"duplicated":50,"rejected":0}
api-1  | {"time":"2026-07-28T07:47:58.018722347Z","level":"INFO","msg":"HTTP request completed","service":"api","event":"http_request","request_id":"2de2f9dd-2537-44f4-ac09-14d4589c90ab","method":"POST","path":"/internal/v1/logs/bulk","client_ip":"172.20.0.3","status":200,"latency_ms":5,"operation":"log_ingestion","received":50,"inserted":0,"duplicated":50,"rejected":0}
api-1  | {"time":"2026-07-28T07:47:58.709778678Z","level":"INFO","msg":"HTTP request completed","service":"api","event":"http_request","request_id":"42da0e9b-b129-4647-a064-cff6836a1d7a","method":"GET","path":"/readyz","client_ip":"127.0.0.1","status":200,"latency_ms":0}
